address,agent,baths_full,baths_half,bedrooms,broker,city,garage,lot_size,photos,price,property_type,sqft,zip_code
2718 Westbrook Dr,2740227,2,2,2,712753,Bloomington,2,-1.0,14,145000,Condo/Townhome/Row Home/Co-Op,1396,61705
505 Cheshire Dr,2047335,2,1,4,712753,Bloomington,2,-1.0,30,219900,Single Family Home,2939,61704
703 E Washington St,1613798,2,1,6,1571726,Bloomington,-1,-1.0,30,175000,Single Family Home,3889,61701
1510 Paddington Dr,1193279,2,1,3,1571726,Bloomington,2,-1.0,30,204900,Single Family Home,3228,61704
1003 Maple St,7995,2,0,3,3054550,Bloomington,-1,-1.0,30,125000,Single Family Home,1888,61701
16 Derby Way,1237791,3,1,4,1295017,Bloomington,3,-1.0,26,419900,Single Family Home,4862,61704
1509 E Washington St,69045,1,1,4,1295017,Bloomington,2,-1.0,24,187000,Single Family Home,3072,61701
1033 E Front St,2047335,2,0,3,712753,Bloomington,4,-1.0,24,142900,Single Family Home,2802,61701
2109 Case Dr,1193279,3,1,3,1571726,Bloomington,2,-1.0,19,169900,Single Family Home,2505,61701
7 Lavender Ln,1571761,3,1,4,1571726,Bloomington,3,-1.0,30,545000,Single Family Home,5090,61704
1411 Cloud St,950922,1,0,3,1207437,Bloomington,2,-1.0,30,129900,Single Family Home,2932,61701
304 Goldenrod Rd,860512,2,1,3,712753,Bloomington,2,-1.0,24,177500,Single Family Home,2515,61704
2711 Crooked Creek Rd,1207544,4,1,5,1207437,Bloomington,3,-1.0,1,498900,Single Family Home,5388,61705
36 Pembrook Cir,1231308,2,1,4,1295017,Bloomington,2,-1.0,30,169900,Single Family Home,2913,61704
3 Litta Ct,1295102,3,1,5,1295017,Bloomington,3,-1.0,30,379900,Single Family Home,3780,61704
2005 Woodhavens Dr,1194290,2,1,3,1571726,Bloomington,2,-1.0,30,155000,Single Family Home,2080,61701
2719 Kolby Ct,1200611,3,1,4,1571726,Bloomington,3,-1.0,30,269000,Single Family Home,4039,61704
35 Pembrook Cir,7995,2,2,4,3054550,Bloomington,2,-1.0,30,197000,Single Family Home,2546,61704
2913 Conlor Dr,1207553,3,0,3,712753,Bloomington,2,7841,24,209900,Single Family Home,2450,61704
24 Vermont Ave,43657,2,1,3,1207437,Bloomington,2,-1.0,20,147900,Single Family Home,2304,61701
718 E Lincoln St,1207547,1,0,1,1207437,Bloomington,1,-1.0,1,22000,Single Family Home,544,61701
2808 Morningside Dr,182757,3,1,4,1571726,Bloomington,2,-1.0,30,209000,Single Family Home,3934,61704
1304 Cashel Dr,1855850,2,1,4,1280142,Bloomington,3,-1.0,30,215000,Single Family Home,3433,61704
10 Conway Cir,1986101,3,1,5,1295017,Bloomington,3,-1.0,30,305000,Single Family Home,3766,61704
13 Cashel Dr,744586,3,1,4,3054550,Bloomington,2,-1.0,30,239900,Single Family Home,3120,61704
3906 Shasta Dr,7995,3,0,4,3054550,Bloomington,2,-1.0,30,174900,Single Family Home,2249,61705
1411 Mill Creek Rd,1571756,2,1,4,712753,Bloomington,2,-1.0,30,199900,Single Family Home,1720,61704
9571 Crossbow Dr,283157,3,1,5,1207437,Bloomington,3,88426.79999999999,30,489999,Single Family Home,4424,61705
2715 Rocksbury Dr,4784,2,0,4,1295017,Bloomington,2,-1.0,21,148000,Single Family Home,1424,61705
6 Linnwood St,1231308,1,0,3,1295017,Bloomington,1,-1.0,20,110000,Single Family Home,2464,61701
2209 Windsor Ct,471011,2,1,4,1295017,Bloomington,3,25264.8,17,146500,Single Family Home,3668,61705
610 S McClun St,1805170,2,0,3,1295017,Bloomington,1,-1.0,15,109900,Single Family Home,3104,61701
2717 Rocksbury Dr,1501366,2,0,4,3054550,Bloomington,2,-1.0,13,135000,Single Family Home,2020,61705
614 S McClun St,471011,1,0,2,1295017,Bloomington,2,-1.0,13,24900,Single Family Home,1920,61701
1223 Dogwood Ln,921510,1,0,3,-1,Bloomington,2,6970,11,89900,Single Family Home,1073,61704
502 N Oak St,992049,0,0,1,712753,Bloomington,-1,-1.0,3,160000,Multi-Family Home,4182,61701
607 W Market St,992049,0,0,2,712753,Bloomington,-1,-1.0,2,60000,Multi-Family Home,1245,61701
603 W Market St,992049,0,0,1,712753,Bloomington,-1,-1.0,2,160000,Multi-Family Home,4425,61701
1004 N Livingston St,921510,1,1,3,-1,Bloomington,1,5663,1,38900,Single Family Home,2485,61701
207 Maizefield Ave,486538,1,1,3,-1,Bloomington,2,-1.0,20,129900,Single Family Home,2128,61701
1412 E Olive St,1571738,2,1,4,1571726,Bloomington,2,-1.0,2,176900,Single Family Home,2436,61701
47 Crista Ann Ct,1295118,3,0,4,1295017,Bloomington,2,-1.0,30,314900,Single Family Home,4170,61704
503 Watford Dr,182757,2,1,3,1571726,Bloomington,2,-1.0,30,307500,Single Family Home,3546,61704
20 Gloucester Cir,744586,2,1,4,3054550,Bloomington,2,-1.0,30,224900,Single Family Home,3484,61704
1312 Longford Ln,7995,2,1,5,3054550,Bloomington,3,-1.0,30,289900,Single Family Home,3213,61704
20 Fetzer Ct Apt 2,1345180,2,1,3,-1,Bloomington,-1,-1.0,21,105900,Condo/Townhome/Row Home/Co-Op,1764,61704
708 S Lee St,5295,1,0,2,1207437,Bloomington,-1,-1.0,20,72900,Single Family Home,2508,61701
703 S Mercer Ave,1440163,3,1,5,1571726,Bloomington,3,-1.0,13,467900,Single Family Home,4197,61701
509 E Locust St,7995,0,0,3,3054550,Bloomington,-1,-1.0,9,95000,Multi-Family Home,3040,61701
Briar Lot 28,7995,0,0,0,3054550,Bloomington,-1,-1.0,9,150000,Land,-1.0,61705
1607 E Washington St,744586,2,1,3,3054550,Bloomington,2,-1.0,30,279900,Single Family Home,2842,61701
3311 Spahn Ln,15043,2,2,4,1295017,Bloomington,3,-1.0,30,264900,Single Family Home,4283,61704
5 Stoney Ct,2031028,3,2,5,1571726,Bloomington,3,-1.0,30,799000,Single Family Home,6264,61704
8372 Medinah Dr,1253576,3,1,4,1207437,Bloomington,2,-1.0,30,719900,Single Family Home,6400,61705
2009 E Oakland Ave,591989,1,1,3,1280142,Bloomington,2,-1.0,29,200000,Single Family Home,5955,61701
14121/2 W Locust,1301728,2,0,4,1280142,Bloomington,1,-1.0,28,115000,Single Family Home,2105,61701
2513 W Market St,1694648,2,1,4,3054550,Bloomington,2,15245.999999999998,26,164900,Single Family Home,2452,61705
15 Andy Ct,523649,2,0,3,1295017,Bloomington,2,-1.0,23,159900,Single Family Home,2472,61704
21 Andy Ct,1295099,2,0,3,1295017,Bloomington,2,-1.0,21,139900,Single Family Home,1430,61704
1107 N Western Ave,1231308,1,0,2,1295017,Bloomington,2,-1.0,20,114900,Single Family Home,1436,61701
1211 N Lee St,1730158,1,0,2,712753,Bloomington,1,-1.0,14,66000,Single Family Home,1912,61701
703 S Allin St,1571756,1,0,2,712753,Bloomington,-1,-1.0,10,35900,Single Family Home,1798,61701
2514 Bunn St,1548431,1,1,3,1280142,Bloomington,3,-1.0,8,95000,Single Family Home,1424,61704
1401 E Grove St,430485,2,0,3,3054550,Bloomington,2,-1.0,30,233000,Single Family Home,2724,61701
1512 Sweetbriar Dr,1295099,2,1,4,1295017,Bloomington,2,-1.0,30,299000,Single Family Home,3548,61701
1602 Myra Ln,1376376,3,1,5,1295017,Bloomington,2,-1.0,30,258800,Single Family Home,3220,61704
10 Oakland Ct,523674,2,0,3,712753,Bloomington,1,-1.0,30,157000,Single Family Home,2100,61701
3607 Ballyford Dr,7995,2,1,3,3054550,Bloomington,2,-1.0,30,169900,Single Family Home,2200,61704
5 Prairie Vista Ct,1263684,3,0,5,1571726,Bloomington,2,-1.0,28,349900,Single Family Home,3882,61704
7779 Old Peoria Rd,1263684,3,0,3,1571726,Bloomington,3,50529.6,28,224900,Single Family Home,3787,61705
1310 S Madison St,-1,1,0,3,-1,Bloomington,-1,4792,18,103000,Single Family Home,988,61701
206 N Mason St,1193279,2,0,2,1571726,Bloomington,-1,-1.0,15,45500,Single Family Home,2298,61701
303 S Morris Ave,1571756,2,0,3,712753,Bloomington,2,-1.0,9,29900,Single Family Home,2434,61701
3028 Ann Dr,2101837,3,0,3,1295017,Bloomington,2,-1.0,30,169900,Single Family Home,1953,61704
2501 Yorktown Dr,1301728,3,1,4,1280142,Bloomington,2,-1.0,30,225000,Single Family Home,2958,61704
