,address,agent,baths_full,baths_half,bedrooms,broker,city,garage,lot_size,photos,price,property_type,sqft,zip_code
1,505 Cheshire Dr,2047335,2,1,4,712753,Bloomington,2,-1.0,30,219900,Single Family Home,2939.0,61704
2,703 E Washington St,1613798,2,1,6,1571726,Bloomington,1,-1.0,30,175000,Single Family Home,3889.0,61701
3,1510 Paddington Dr,1193279,2,1,3,1571726,Bloomington,2,-1.0,30,204900,Single Family Home,3228.0,61704
4,1003 Maple St,7995,2,0,3,3054550,Bloomington,1,-1.0,30,125000,Single Family Home,1888.0,61701
5,16 Derby Way,1237791,3,1,4,1295017,Bloomington,3,-1.0,26,419900,Single Family Home,4862.0,61704
6,1509 E Washington St,69045,1,1,4,1295017,Bloomington,2,-1.0,24,187000,Single Family Home,3072.0,61701
7,1033 E Front St,2047335,2,0,3,712753,Bloomington,4,-1.0,24,142900,Single Family Home,2802.0,61701
8,2109 Case Dr,1193279,3,1,3,1571726,Bloomington,2,-1.0,19,169900,Single Family Home,2505.0,61701
9,7 Lavender Ln,1571761,3,1,4,1571726,Bloomington,3,-1.0,30,545000,Single Family Home,5090.0,61704
10,1411 Cloud St,950922,1,0,3,1207437,Bloomington,2,-1.0,30,129900,Single Family Home,2932.0,61701
11,304 Goldenrod Rd,860512,2,1,3,712753,Bloomington,2,-1.0,24,177500,Single Family Home,2515.0,61704
12,2711 Crooked Creek Rd,1207544,4,1,5,1207437,Bloomington,3,-1.0,1,498900,Single Family Home,5388.0,61705
13,36 Pembrook Cir,1231308,2,1,4,1295017,Bloomington,2,-1.0,30,169900,Single Family Home,2913.0,61704
14,3 Litta Ct,1295102,3,1,5,1295017,Bloomington,3,-1.0,30,379900,Single Family Home,3780.0,61704
15,2005 Woodhavens Dr,1194290,2,1,3,1571726,Bloomington,2,-1.0,30,155000,Single Family Home,2080.0,61701
16,2719 Kolby Ct,1200611,3,1,4,1571726,Bloomington,3,-1.0,30,269000,Single Family Home,4039.0,61704
17,35 Pembrook Cir,7995,2,2,4,3054550,Bloomington,2,-1.0,30,197000,Single Family Home,2546.0,61704
18,2913 Conlor Dr,1207553,3,0,3,712753,Bloomington,2,7841.0,24,209900,Single Family Home,2450.0,61704
19,24 Vermont Ave,43657,2,1,3,1207437,Bloomington,2,-1.0,20,147900,Single Family Home,2304.0,61701
20,718 E Lincoln St,1207547,1,0,1,1207437,Bloomington,1,-1.0,1,22000,Single Family Home,544.0,61701
21,2808 Morningside Dr,182757,3,1,4,1571726,Bloomington,2,-1.0,30,209000,Single Family Home,3934.0,61704
22,1304 Cashel Dr,1855850,2,1,4,1280142,Bloomington,3,-1.0,30,215000,Single Family Home,3433.0,61704
23,10 Conway Cir,1986101,3,1,5,1295017,Bloomington,3,-1.0,30,305000,Single Family Home,3766.0,61704
24,13 Cashel Dr,744586,3,1,4,3054550,Bloomington,2,-1.0,30,239900,Single Family Home,3120.0,61704
25,3906 Shasta Dr,7995,3,0,4,3054550,Bloomington,2,-1.0,30,174900,Single Family Home,2249.0,61705
26,1411 Mill Creek Rd,1571756,2,1,4,712753,Bloomington,2,-1.0,30,199900,Single Family Home,1720.0,61704
27,9571 Crossbow Dr,283157,3,1,5,1207437,Bloomington,3,88426.79999999997,30,489999,Single Family Home,4424.0,61705
28,2715 Rocksbury Dr,4784,2,0,4,1295017,Bloomington,2,-1.0,21,148000,Single Family Home,1424.0,61705
29,6 Linnwood St,1231308,1,0,3,1295017,Bloomington,1,-1.0,20,110000,Single Family Home,2464.0,61701
30,2209 Windsor Ct,471011,2,1,4,1295017,Bloomington,3,25264.8,17,146500,Single Family Home,3668.0,61705
31,610 S McClun St,1805170,2,0,3,1295017,Bloomington,1,-1.0,15,109900,Single Family Home,3104.0,61701
32,2717 Rocksbury Dr,1501366,2,0,4,3054550,Bloomington,2,-1.0,13,135000,Single Family Home,2020.0,61705
33,614 S McClun St,471011,1,0,2,1295017,Bloomington,2,-1.0,13,24900,Single Family Home,1920.0,61701
34,1223 Dogwood Ln,921510,1,0,3,-1,Bloomington,2,6970.0,11,89900,Single Family Home,1073.0,61704
38,1004 N Livingston St,921510,1,1,3,-1,Bloomington,1,5663.0,1,38900,Single Family Home,2485.0,61701
39,207 Maizefield Ave,486538,1,1,3,-1,Bloomington,2,-1.0,20,129900,Single Family Home,2128.0,61701
40,1412 E Olive St,1571738,2,1,4,1571726,Bloomington,2,-1.0,2,176900,Single Family Home,2436.0,61701
41,47 Crista Ann Ct,1295118,3,0,4,1295017,Bloomington,2,-1.0,30,314900,Single Family Home,4170.0,61704
42,503 Watford Dr,182757,2,1,3,1571726,Bloomington,2,-1.0,30,307500,Single Family Home,3546.0,61704
43,20 Gloucester Cir,744586,2,1,4,3054550,Bloomington,2,-1.0,30,224900,Single Family Home,3484.0,61704
44,1312 Longford Ln,7995,2,1,5,3054550,Bloomington,3,-1.0,30,289900,Single Family Home,3213.0,61704
46,708 S Lee St,5295,1,0,2,1207437,Bloomington,1,-1.0,20,72900,Single Family Home,2508.0,61701
47,703 S Mercer Ave,1440163,3,1,5,1571726,Bloomington,3,-1.0,13,467900,Single Family Home,4197.0,61701
50,1607 E Washington St,744586,2,1,3,3054550,Bloomington,2,-1.0,30,279900,Single Family Home,2842.0,61701
51,3311 Spahn Ln,15043,2,2,4,1295017,Bloomington,3,-1.0,30,264900,Single Family Home,4283.0,61704
52,5 Stoney Ct,2031028,3,2,5,1571726,Bloomington,3,-1.0,30,799000,Single Family Home,6264.0,61704
53,8372 Medinah Dr,1253576,3,1,4,1207437,Bloomington,2,-1.0,30,719900,Single Family Home,6400.0,61705
54,2009 E Oakland Ave,591989,1,1,3,1280142,Bloomington,2,-1.0,29,200000,Single Family Home,5955.0,61701
55,14121/2 W Locust,1301728,2,0,4,1280142,Bloomington,1,-1.0,28,115000,Single Family Home,2105.0,61701
56,2513 W Market St,1694648,2,1,4,3054550,Bloomington,2,15245.999999999998,26,164900,Single Family Home,2452.0,61705
57,15 Andy Ct,523649,2,0,3,1295017,Bloomington,2,-1.0,23,159900,Single Family Home,2472.0,61704
58,21 Andy Ct,1295099,2,0,3,1295017,Bloomington,2,-1.0,21,139900,Single Family Home,1430.0,61704
59,1107 N Western Ave,1231308,1,0,2,1295017,Bloomington,2,-1.0,20,114900,Single Family Home,1436.0,61701
60,1211 N Lee St,1730158,1,0,2,712753,Bloomington,1,-1.0,14,66000,Single Family Home,1912.0,61701
61,703 S Allin St,1571756,1,0,2,712753,Bloomington,1,-1.0,10,35900,Single Family Home,1798.0,61701
62,2514 Bunn St,1548431,1,1,3,1280142,Bloomington,3,-1.0,8,95000,Single Family Home,1424.0,61704
63,1401 E Grove St,430485,2,0,3,3054550,Bloomington,2,-1.0,30,233000,Single Family Home,2724.0,61701
64,1512 Sweetbriar Dr,1295099,2,1,4,1295017,Bloomington,2,-1.0,30,299000,Single Family Home,3548.0,61701
65,1602 Myra Ln,1376376,3,1,5,1295017,Bloomington,2,-1.0,30,258800,Single Family Home,3220.0,61704
66,10 Oakland Ct,523674,2,0,3,712753,Bloomington,1,-1.0,30,157000,Single Family Home,2100.0,61701
67,3607 Ballyford Dr,7995,2,1,3,3054550,Bloomington,2,-1.0,30,169900,Single Family Home,2200.0,61704
68,5 Prairie Vista Ct,1263684,3,0,5,1571726,Bloomington,2,-1.0,28,349900,Single Family Home,3882.0,61704
69,7779 Old Peoria Rd,1263684,3,0,3,1571726,Bloomington,3,50529.6,28,224900,Single Family Home,3787.0,61705
70,1310 S Madison St,-1,1,0,3,-1,Bloomington,1,4792.0,18,103000,Single Family Home,988.0,61701
71,206 N Mason St,1193279,2,0,2,1571726,Bloomington,1,-1.0,15,45500,Single Family Home,2298.0,61701
72,303 S Morris Ave,1571756,2,0,3,712753,Bloomington,2,-1.0,9,29900,Single Family Home,2434.0,61701
